"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible"
"3","3","523","","5035","1","AQ130","194","1"
"3","3","524","","5037","1","AQ130","194","1"
"3","3","525","","5039","1","AQ130","194","1"
"3","3","526","","5041","1","AQ130","194","1"
"3","3","527","","5043","1","AQ130","194","1"
"3","3","528","","5045","1","AQ130","194","1"
"3","3","529","","5047","1","AQ130","194","1"
"3","3","530","","5049","1","AQ130","194","1"
"3","3","531","","5033","1","AQ130","194","1"
"6","3","532","","4326","1","AQ046","210",""
"20","3","533","","4720","0","AQ1000","64",""
"20","3","534","","4734","1","AQ1000","193",""
"7","3","535","","4341","1","AQ074","165",""
"7","3","536","","4607","1","AQ072","162",""
"13","3","537","","4536","0","AQ020","13",""
"6","3","538","","4318","0","AQ064","60",""
"4","3","539","","4362","0","AQ106","6",""
"4","3","540","","4401","0","AQ098","11",""
"10","3","541","","4652","0","AQ081","172",""
"22","1","542","","4138","1","AQ078","202",""
"22","1","543","","4143","1","AQ139","202",""
"22","1","544","","4139","1","AQ139","111",""
"4","1","545","","4394","0","AQ084","44",""
"4","1","546","","4489","0","AQ100","44",""
"4","1","547","","4395","0","AQ066","44",""
"4","1","548","","4391","0","AQ003","44",""
"4","1","549","","4392","0","AQ064","44",""
"4","1","550","","4397","0","AQ105","44",""
"4","1","551","","4396","0","AQ066","44",""
"4","1","552","","4393","0","AQ084","44",""
"4","1","553","","4398","0","AQ105","44",""
"4","1","554","","4399","0","AQ033","44",""
"4","1","555","","4525","1","AQ066","57",""
"4","1","556","","4493","1","AQ088","57",""
"4","1","557","","4523","1","AQ066","57",""
"4","1","558","","4569","1","AQ084","57",""
"4","1","559","","4513","1","AQ085","57",""
"4","1","560","","4521","1","AQ066","57",""
"4","1","561","","4515","1","AQ059","57",""
"4","1","562","","4518","1","AQ064","57",""
"4","1","563","","4527","1","AQ105","57",""
"4","1","564","","4529","1","AQ105","57",""
"21","1","565","","4167","0","AQ097","46",""
"21","1","566","","4175","0","AQ033","46",""
"21","1","567","","4174","0","AQ033","46",""
"21","1","568","","4172","0","AQ033","46",""
"21","1","569","","4168","0","AQ097","46",""
"21","1","570","","4173","0","AQ033","46",""
"21","1","571","","4171","0","AQ036","46",""
"21","1","572","","4169","0","AQ082","46",""
"21","1","573","","4176","0","AQ018","46",""
"21","1","574","","4177","0","AQ051","46",""
"21","1","575","","4153","1","AQ033","47",""
"21","1","576","","4146","1","AQ002","47",""
"21","1","577","","4148","1","AQ097","47",""
"21","1","578","","4147","1","AQ097","47",""
"21","1","579","","4152","1","AQ033","47",""
"21","1","580","","4151","1","AQ033","47",""
"21","1","581","","4150","1","AQ036","47",""
"21","1","582","","4149","1","AQ082","47",""
"21","1","583","","4154","1","AQ033","47",""
"21","1","584","","4155","1","AQ018","47",""
"11","1","585","","1000","0","AQ096","37",""
"11","1","586","","1000","0","AQ140","37",""
"11","1","587","","1000","0","AQ045","37",""
"11","1","588","","1000","0","AQ011","37",""
"11","1","589","","1000","0","AQ084","37",""
"11","1","590","","1000","0","AQ140","37",""
"11","1","591","","1000","0","AQ140","37",""
"14","1","592","","4466","1","AQ106","34",""
"14","1","593","","4459","1","AQ132","34",""
"14","1","594","","4458","1","AQ131","34",""
"14","1","595","","4460","1","AQ105","34",""
"14","1","596","","4461","1","AQ137","34",""
"14","1","597","","4470","0","AQ080","5",""
"14","1","598","","4469","0","AQ074","132",""
"15","1","599","","4443","1","AQ136","66",""
"14","1","600","","4451","1","AQ040","18",""
"14","1","601","","4449","1","AQ074","18",""
"7","1","602","","4349","1","AQ017","213",""
"7","1","603","","4352","1","AQ032","203",""
"7","1","604","","4351","1","AQ032","203",""
"4","1","605","","4533","1","AQ005","80",""
"14","1","606","","4457","1","AQ090","34",""
"14","1","607","","4454","1","AQ063","34",""
"6","1","608","","4335","1","AQ010","27",""
"6","1","609","","4337","1","AQ056","27",""
"6","1","610","","4334","1","AQ007","61",""
"6","1","611","","4332","1","AQ095","27",""
"6","1","612","","4331","1","AQ095","27",""
"6","1","613","","4336","1","AQ056","27",""
"14","1","614","","4453","1","AQ019","34",""
"20","1","615","","4739","1","AQ078","33",""
"20","1","616","","4735","1","AQ025","33",""
"19","1","617","","5108","0","AQ013","226",""
"19","1","618","","5109","0","AQ050","35",""
"19","1","619","","5104","0","AQ082","77",""
"19","1","620","","5105","0","AQ113","187",""
"19","1","621","","5103","0","AQ096","35",""
"21","1","622","","4187","0","AQ025","176",""
"21","1","623","","4189","0","AQ098","68",""
"21","1","624","","4185","0","AQ046","46",""
"21","1","625","","4188","0","AQ069","114",""
"24","1","626","","4621","1","AQ048","219",""
"11","1","627","","1000","0","AQ140","37",""
"11","1","628","","1000","0","AQ140","37",""
"11","1","629","","1000","0","AQ140","37",""
"11","1","630","","1000","0","AQ004","37",""
"11","1","631","","1000","0","AQ140","37",""
"11","1","632","","1000","0","AQ140","37",""
"11","1","633","","1000","0","AQ140","37",""
"11","1","634","","1000","0","AQ140","37",""
"11","1","635","","2000","1","AQ096","38",""
"11","1","636","","2000","1","AQ045","38",""
"11","1","637","","2000","1","AQ011","38",""
"11","1","638","","2000","1","AQ084","38",""
"11","1","639","","2000","1","AQ140","38",""
"11","1","640","","2000","1","AQ140","38",""
"11","1","641","","2000","1","AQ140","38",""
"11","1","642","","2000","1","AQ140","38",""
"11","1","643","","2000","1","AQ140","38",""
"11","1","644","","2000","1","AQ140","38",""
"11","1","645","","2000","1","AQ004","38",""
"11","1","646","","2000","1","AQ140","38",""
"11","1","647","","2000","1","AQ140","38",""
"11","1","648","","2000","1","AQ140","38",""
"11","1","649","","2000","1","AQ140","38",""
"10","1","650","","4653","1","AQ025","173",""
"19","1","651","","4776","0","AQ083","35",""
"19","1","652","","4775","0","AQ059","30",""
"23","1","653","","4070","1","AQ012","53",""
"23","1","654","","4063","1","AQ104","56",""
"24","1","655","","4611","0","AQ048","218",""
"5","1","656","","4230","0","AQ062","129",""
"18","1","657","","4757","1","AQ134","178","1"
"18","1","658","","4751","0","AQ132","155","1"
"19","1","659","","4790","1","AQ063","188",""
"19","1","660","","4793","1","AQ113","188",""
"19","1","661","","5111","1","AQ076","78",""
"19","1","662","","4795","1","AQ013","78",""
"3","1","663","","5009","0","AQ128","195","1"
"13","1","664","","4542","0","AQ023","217",""
"14","1","665","","4452","1","AQ017","34",""
"14","1","666","","4455","1","AQ005","34",""
"14","1","667","","4456","1","AQ007","34",""
"14","1","668","","4463","1","AQ078","34",""
"14","1","669","","4485","0","AQ132","5",""
"14","1","670","","4481","0","AQ132","5",""
"4","1","671","","4384","0","AQ096","44",""
"4","1","672","","4385","0","AQ009","44",""
"21","1","673","","4156","1","AQ114","47",""
"22","1","674","","4144","0","AQ001","133",""
"7","1","675","","4302","0","AQ017","106",""
"7","1","676","","4300","0","AQ017","106",""
"7","1","677","","4305","0","AQ056","106",""
"7","1","678","","4299","0","AQ017","106",""
"7","1","679","","4301","0","AQ075","159",""
"14","1","680","","4478","0","AQ137","5",""
"14","1","681","","4482","0","AQ131","186",""
"14","1","682","","4483","0","AQ006","5",""
"22","1","683","","4486","0","AQ094","20",""
"4","1","684","","4388","0","AQ053","44",""
"4","1","685","","4389","0","AQ053","44",""
"4","1","686","","4387","0","AQ106","44",""
"4","1","687","","4390","0","AQ078","44",""
"4","1","688","","4386","0","AQ099","44",""
"23","1","689","","3960","0","AQ096","3",""
"23","1","690","","3996","0","AQ060","3",""
"23","1","691","","4001","0","AQ060","3",""
"7","1","692","","4303","0","AQ032","106",""
"7","1","693","","4304","0","AQ032","106",""
"6","1","694","","4308","0","AQ045","39",""
"6","1","695","","4310","0","AQ102","144",""
"6","1","696","","4313","0","AQ056","26",""
"6","1","697","","4309","0","AQ025","174",""
"4","1","698","","4492","1","AQ068","57",""
"8","1","699","","4295","1","AQ064","142",""
"7","1","700","","4296","0","AQ014","164",""
"7","1","701","","4297","0","AQ072","161",""
"8","1","702","","4294","1","AQ038","72",""
"7","1","703","","4298","0","AQ061","161",""
"5","1","704","","4259","0","AQ062","125",""
"15","1","705","","4425","1","AQ134","29",""
"15","1","706","","4426","1","AQ136","29",""
"15","1","707","","4431","1","AQ138","29",""
"15","1","708","","4404","0","AQ138","118",""
"17","1","709","","4827","0","AQ130","4",""
"17","1","710","","4828","0","AQ130","4",""
"17","1","711","","4826","0","AQ130","4",""
"17","1","712","","4829","0","AQ130","4",""
"13","1","713","","4536","0","AQ085","13",""
"13","1","714","","4538","0","AQ090","90",""
"4","1","715","","4517","1","AQ096","57",""
"18","1","716","","4764","1","AQ132","156","1"
